measurementType,measurementValue,Alt labels,definition,measurementValueID,references
fishing gear type,seine net,,"Seine nets are set from fishing boats with the assistance of a small skiff. Nets are set in a circle around aggregations of fish. The bottom edges of the net are then drawn together into a ""purse"" to prevent escape of the fish. ",http://vocab.nerc.ac.uk/collection/M13/current/015/,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/comm-gear-engin-eng.html
fishing gear type,gillnet,,"Salmon gill nets are rectangular nets that hang in the water and are set from either the stern or bow of the vessel. Fish swim headfirst into the net, entangling their gills in the mesh.",,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/comm-gear-engin-eng.html
fishing gear type,troll,,Trollers employ hooks and lines which are suspended from large poles extending from the fishing vessel.,,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/comm-gear-engin-eng.html
LifeStage,cyphonautes,,,"
http://vocab.nerc.ac.uk/collection/S11/current/S1119/",
LifeStage,auricularia,,The first stage of larval development of holothurians (sea cucumbers).,"
http://vocab.nerc.ac.uk/collection/S11/current/S1166/",
LifeStage,C1,copepodites C1,"
The first sub-stage of the copepodite development stage of the crustacean copepoda sub-class.",http://vocab.nerc.ac.uk/collection/S11/current/S111/,
LifeStage,C4,copepodites C4,"
The fourth sub-stage of the copepodite development stage of the crustacean copepoda sub-class.",http://vocab.nerc.ac.uk/collection/S11/current/S1110/,
LifeStage,C5,copepodites C5,"
The fifth and last sub-stage of the copepodite development stage of the crustacean copepoda sub-class.",http://vocab.nerc.ac.uk/collection/S11/current/S1112/,
LifeStage,adult,,An animal that has reached sexual maturity,http://vocab.nerc.ac.uk/collection/S11/current/S1116/,
LifeStage,C6,adult,An animal that has reached sexual maturity,http://vocab.nerc.ac.uk/collection/S11/current/S1116/,
LifeStage,calyptosis,,,http://vocab.nerc.ac.uk/collection/S11/current/S1118/,
LifeStage,eggs,,"	Spherical or ellipsoidal bodies produced by the female of certain animals (e.g. fishes, birds, reptiles).",http://vocab.nerc.ac.uk/collection/S11/current/S1122/,
LifeStage,furcilia,,Fourth free-swimming planktonic larval stage of euphausiaceans with stalked eyes and the general body form of the adult.,http://vocab.nerc.ac.uk/collection/S11/current/S1123/,
LifeStage,juvenile,,An animal that has not yet reached sexual maturity,http://vocab.nerc.ac.uk/collection/S11/current/S1127/,
LifeStage,larvae,,,http://vocab.nerc.ac.uk/collection/S11/current/S1128/,
LifeStage,nauplii,,"	All sub-stages of the first development stage of crustaceans after hatching.",http://vocab.nerc.ac.uk/collection/S11/current/S1130/,
LifeStage,zoea,,"Free-swimming planktonic larval form of decapod crustaceans (especially crabs) with a relatively large cephalothorax, conspicuous eyes, and fringed antennae and mouthparts.",http://vocab.nerc.ac.uk/collection/S11/current/S1137/,
LifeStage,copepodite,,All sub-stages of the second development stage of copepoda crustaceans following the nauplii stage (N1 to N6) and before reaching the adult stage (sometimes also labelled C6 or CVI).,http://vocab.nerc.ac.uk/collection/S11/current/S115/,
LifeStage,protozoea,,"Free-swimming planktonic larval forms of decapod crustaceans with three recognised development sub-stages (Dall et al., 1990).",http://vocab.nerc.ac.uk/collection/S11/current/S1160/,
LifeStage,pluteus,pluteus larvae,"Free-swimming, bilaterally symmetrical, ciliated developmental stage of some echinoderms, such as sea urchins and brittlestars",http://vocab.nerc.ac.uk/collection/S11/current/S1162/,
LifeStage,megalops,megalopae,Organisms at the final larval development stage of decapod crustaceans (e.g. crabs) following the zoea and preceding the adult stage.,http://vocab.nerc.ac.uk/collection/S11/current/S1167/,
LifeStage,C2,copepodites C2,The second sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,http://vocab.nerc.ac.uk/collection/S11/current/S117/,
LifeStage,smolt,,A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea.,http://vocab.nerc.ac.uk/collection/S11/current/S1173/,
LifeStage,ephyra,,"small medusae (""medusoid heads"") that separate from the polyp by budding in a process known as strobilation before metamorphosing into scyphomedusae, the life stage of the adult medusa typically identified as jellyfish. Strobils can sometimes become scyphomedusae without passing through the ephyra stage.",http://vocab.nerc.ac.uk/collection/S11/current/S1179/,
LifeStage,C3,copepodites C3,The third sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,http://vocab.nerc.ac.uk/collection/S11/current/S118/,
LifeStage,pupa,,An organism at the pupal stage. A life stage of some insects undergoing a complete metamorphosis between immature (larva) and mature (adult or imago) stages.,http://vocab.nerc.ac.uk/collection/S11/current/S1180/,
LifeStage,chalimus,,The life stages of parasitic copepod species marked by their secure attachment to a host by a frontal filament. The chalimus stages follow the free-swimming copepodid stage and precede the sub-adult stages where the organism is capable of detaching from its filament to move across the surface of its host.,http://vocab.nerc.ac.uk/collection/S11/current/S1182/,
LifeStage,Fish (WoRMS 11676) [Stage: eggs],,"None provided (listed as ""Narrower"" under Eggs (S1122))",http://vocab.nerc.ac.uk/collection/S25/current/BE002269/,
LifeStage,pre-adult and adult motile stages,motile (sea lice),The pre-adult and adult life stages of parasitic copepod species — commonly referred to as “sea lice” — that are marked by the ability of parasites to move freely across the surface of their host or swim freely in the water column. Sea lice motile stages are preceded by the chalimus stages in which the organism is attached to its host by a frontal filament and exclude the free-swimming naupliar and copepodid stages.,"Most recent communication with Gwen @ BODC (Feb 22, 2021)",
LifeStage,nectophore,,"Nectophores are also called the swimming bells of siphonophores. Bell-shaped zooids specialized for swimming. These nectophore zooids contract in a coordinated fashion, propelling the colony forward, backward, or in turns.",,
LifeStage,eudoxid,,A free-living sexual unit lifestage of the calycophoran siphonophores,,
LifeStage,preflexion,,Ichthyoplankton life stage: from complete yolk-sac absorbtion to start of notochord flexion,,https://access.afsc.noaa.gov/ichthyo/StageDefPage.php
LifeStage,flexion,,Ichthyoplankton life stage: from start of notochord flexion to completion of notochord flexion,,https://access.afsc.noaa.gov/ichthyo/StageDefPage.php
LifeStage,postflexion,,Ichthyoplankton life stage: from completion of notochord flexion to start of metamorphosis,,https://access.afsc.noaa.gov/ichthyo/StageDefPage.php
LifeStage,veliger,,"The planktonic larva of many kinds of sea snails and freshwater snails, as well as most bivalve molluscs (clams) and tusk shells.",,
LifeStage,young of the year,YOY,"Animals born within the past year (age = 0), from transformation to juvenile until January 1st in the Northern Hemisphere or July 1st in the Southern Hemisphere. ",,"https://www.fishbase.in/glossary/Glossary.php?q=young-of-the-year#:~:text=Definition%20of%20Term&text=(English)%20Age%2D0%20fish,Abbreviated%20as%20YOY."
LifeStage,actinotroch,,free swimming larva of the phylum Phoronida,,
LifeStage,actinula larvae,,,,
LifeStage,bipinnaria,,,,
LifeStage,brachiolaria,,,,
LifeStage,bracts,,,,
LifeStage,coracidia,,,,
LifeStage,cyprids,,,,
LifeStage,doliolaria,,,,
LifeStage,echinospira larvae,,,,
LifeStage,egg cases,,,,
LifeStage,gas floats,,,,
LifeStage,mysis,,,,
LifeStage,nectochaete,,,,
LifeStage,nymph,,,,
LifeStage,paralarvae,,,,
LifeStage,pelagosphaera,,,,
LifeStage,pentacula,,,,
LifeStage,pilidium,,,,
LifeStage,pneumatophore,,,,
LifeStage,polytroch,,,,
LifeStage,subadult,,,,
LifeStage,tadpole,,,,
LifeStage,trich larvae,,,,
LifeStage,trochophores,,,,
LifeStage,veligers,,,,
sampling protocol,Beam Trawl ,,Nets towed over the sea floor having the horizontal net opening provided by a wooden or metal beam that disrupts the surface of the bed.,http://vocab.nerc.ac.uk/collection/L05/current/62/,
Sampling protocol,Bongo net,,"A generic term for a plankton net designed with double circular (ring, hoop or drum) mouth pieces; with further specifications either unknown or described elsewhere in the supporting metadata.",http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,
sex,Female,,,http://vocab.nerc.ac.uk/collection/S10/current/S102/,
sex,Male,,,http://vocab.nerc.ac.uk/collection/S10/current/S103/,
sex,indeterminate,,The taxonomist was unable to reliably determine the gender of the specimens., http://vocab.nerc.ac.uk/collection/S10/current/S105/ ,
sex,unspecified,,The gender of the specimens has not been provided by the taxonomist.,http://vocab.nerc.ac.uk/collection/S10/current/S104/,
